id,module_fqcn,chunk_type,stable_id,question,expected_type,expected_default,expected_choices,expected_deprecated,expected_alternative,ansible_core_version,generated_at
c8080298-5257-43ec-b124-4e72ba0fa99f,ansible.builtin.apt,parameter,ansible.builtin.apt::param::deb,What data type does the deb parameter expect?,path,,"",,,2.21.3,2026-08-18T12:17:47Z
e7229542-858b-4190-814d-49369415427f,ansible.builtin.apt,parameter,ansible.builtin.apt::param::deb,What is the default value for the deb parameter if it is not provided?,path,,"",,,2.21.3,2026-08-18T12:17:47Z
67d11c1b-cb08-4c51-846a-4c2d53ef3ded,ansible.builtin.apt,parameter,ansible.builtin.apt::param::deb,"What valid choices or formats are accepted for the deb parameter (for example, local path vs. downloadable URL)?",path,,"",,,2.21.3,2026-08-18T12:17:47Z
6d8f3475-e09a-4c91-aeb2-5d22b05ffc97,ansible.builtin.apt,parameter,ansible.builtin.apt::param::name,What data type does the name parameter of the ansible.builtin.apt module accept?,list,,"",,,2.21.3,2026-08-18T12:17:47Z
24a32a98-0d31-4931-8a29-48e3aa757bc7,ansible.builtin.apt,parameter,ansible.builtin.apt::param::name,What is the default value for the name parameter if it is not explicitly set?,list,,"",,,2.21.3,2026-08-18T12:17:47Z
be2581be-954d-4a34-adff-50bc0a9a7ab4,ansible.builtin.apt,parameter,ansible.builtin.apt::param::name,"What valid choices or formats are allowed for the name parameter (for example, how can package names, version specifiers, or wildcards be used)?",list,,"",,,2.21.3,2026-08-18T12:17:47Z
69c5e52a-d393-48b2-b136-78d274eae01e,ansible.builtin.apt,parameter,ansible.builtin.apt::param::clean,What data type does the 'clean' parameter accept in ansible.builtin.apt?,bool,no,"",,,2.21.3,2026-08-18T12:17:47Z
64edbabb-d692-4797-ac80-f7daf47fefba,ansible.builtin.apt,parameter,ansible.builtin.apt::param::clean,What is the default value for the 'clean' parameter?,bool,no,"",,,2.21.3,2026-08-18T12:17:47Z
3a475ba6-94bd-44d9-9465-4be3155d3325,ansible.builtin.apt,parameter,ansible.builtin.apt::param::clean,What are the valid choices I can set for the 'clean' parameter?,bool,no,"",,,2.21.3,2026-08-18T12:17:47Z
2927bc91-7ed1-4511-9bac-4e03219a8aba,ansible.builtin.apt,parameter,ansible.builtin.apt::param::force,What data type does the 'force' parameter accept for the ansible.builtin.apt module?,bool,no,"",,,2.21.3,2026-08-18T12:17:47Z
0e57c1c0-7a90-4375-ab2d-1a64f09ef30c,ansible.builtin.apt,parameter,ansible.builtin.apt::param::force,What is the default value of the 'force' parameter in ansible.builtin.apt?,bool,no,"",,,2.21.3,2026-08-18T12:17:47Z
d2749d2d-d013-415c-92db-f4024d1e0b51,ansible.builtin.apt,parameter,ansible.builtin.apt::param::force,What are the valid choices or accepted values for the 'force' parameter in ansible.builtin.apt?,bool,no,"",,,2.21.3,2026-08-18T12:17:47Z
a2dba416-370d-4ded-b7ac-c51173098d27,ansible.builtin.apt,parameter,ansible.builtin.apt::param::purge,What is the data type of the purge parameter in the ansible.builtin.apt module?,bool,no,"",,,2.21.3,2026-08-18T12:17:47Z
a226685b-ddc4-49b1-abf8-ce3691c0d48f,ansible.builtin.apt,parameter,ansible.builtin.apt::param::purge,What is the default value for the purge option in the apt module?,bool,no,"",,,2.21.3,2026-08-18T12:17:47Z
ef93da65-6242-4c1e-a3a6-8219dc23be1e,ansible.builtin.apt,parameter,ansible.builtin.apt::param::purge,What valid values or choices does the purge parameter accept?,bool,no,"",,,2.21.3,2026-08-18T12:17:47Z
cea73a2b-eec9-4bbd-8346-a2b152ac1e47,ansible.builtin.apt,parameter,ansible.builtin.apt::param::state,What is the data type of the 'state' parameter for the ansible.builtin.apt module?,str,present,absent|build-dep|latest|present|fixed,,,2.21.3,2026-08-18T12:17:47Z
037d047a-cb07-4e68-80c7-5d5ee0c8dfbd,ansible.builtin.apt,parameter,ansible.builtin.apt::param::state,What is the default value of the 'state' parameter in this module?,str,present,absent|build-dep|latest|present|fixed,,,2.21.3,2026-08-18T12:17:47Z
5739dece-53c0-45ed-b8eb-8415e2de6c5b,ansible.builtin.apt,parameter,ansible.builtin.apt::param::state,What are the valid choices allowed for the 'state' parameter?,str,present,absent|build-dep|latest|present|fixed,,,2.21.3,2026-08-18T12:17:47Z
eac86200-3cf5-44af-96e7-82059728cf27,ansible.builtin.apt,parameter,ansible.builtin.apt::param::upgrade,What data type is the ansible.builtin.apt module's upgrade parameter expected to be?,str,no,dist|full|no|safe|yes,,,2.21.3,2026-08-18T12:17:47Z
ed0d4edc-33f4-4749-8b80-665cb50ffb83,ansible.builtin.apt,parameter,ansible.builtin.apt::param::upgrade,What is the default value for the upgrade parameter of the ansible.builtin.apt module?,str,no,dist|full|no|safe|yes,,,2.21.3,2026-08-18T12:17:47Z
0e116193-3ba1-4b23-9d7f-16cbfe3fd614,ansible.builtin.apt,parameter,ansible.builtin.apt::param::upgrade,Which valid choices can be supplied to the upgrade parameter in the ansible.builtin.apt module?,str,no,dist|full|no|safe|yes,,,2.21.3,2026-08-18T12:17:47Z
4601e35d-8595-4c8d-8112-f80462bf31cc,ansible.builtin.apt,parameter,ansible.builtin.apt::param::autoclean,What data type does the autoclean parameter accept in the ansible.builtin.apt module?,bool,no,"",,,2.21.3,2026-08-18T12:17:47Z
9490c8c7-bf09-4de8-8819-da8335e53d0b,ansible.builtin.apt,parameter,ansible.builtin.apt::param::autoclean,What is the default value of the autoclean parameter?,bool,no,"",,,2.21.3,2026-08-18T12:17:47Z
234ffb82-2fc0-4661-af24-5c1f0b3e189f,ansible.builtin.apt,parameter,ansible.builtin.apt::param::autoclean,What are the valid choices or allowed values for the autoclean parameter?,bool,no,"",,,2.21.3,2026-08-18T12:17:47Z
59c46290-499f-4c68-bb30-0d12eb2ab1a4,ansible.builtin.apt,parameter,ansible.builtin.apt::param::autoremove,What is the data type of the autoremove parameter in the ansible.builtin.apt module?,bool,no,"",,,2.21.3,2026-08-18T12:17:47Z
fac7200d-4495-42a3-9014-e5f173de1ec0,ansible.builtin.apt,parameter,ansible.builtin.apt::param::autoremove,What is the default value for the autoremove parameter of ansible.builtin.apt?,bool,no,"",,,2.21.3,2026-08-18T12:17:47Z
0438d4dc-f3f9-4866-b44b-9e5dbdda44c2,ansible.builtin.apt,parameter,ansible.builtin.apt::param::autoremove,What valid choices or allowed values can be used for the autoremove parameter in ansible.builtin.apt?,bool,no,"",,,2.21.3,2026-08-18T12:17:47Z
d5f018b5-a245-46e3-ba9c-ec2e8ba236f1,ansible.builtin.apt,parameter,ansible.builtin.apt::param::policy_rc_d,What data type is the policy_rc_d parameter expected to be for the ansible.builtin.apt module?,int,,"",,,2.21.3,2026-08-18T12:17:47Z
934f2f90-2bca-40fc-9119-9abffe3058c6,ansible.builtin.apt,parameter,ansible.builtin.apt::param::policy_rc_d,What is the default value of the policy_rc_d parameter when it is not provided?,int,,"",,,2.21.3,2026-08-18T12:17:47Z
b2bfe237-4a86-4e9a-8782-2dc406819ab1,ansible.builtin.apt,parameter,ansible.builtin.apt::param::policy_rc_d,What valid values or choices are accepted for the policy_rc_d parameter?,int,,"",,,2.21.3,2026-08-18T12:17:47Z
aefc8d9f-6b8f-4286-85c0-47e90044d951,ansible.builtin.apt,parameter,ansible.builtin.apt::param::dpkg_options,"What data type (e.g., string, list) is expected for the dpkg_options parameter of ansible.builtin.apt?",str,"force-confdef,force-confold","",,,2.21.3,2026-08-18T12:17:47Z
d64db314-9ebf-467f-b8b1-249edbbc129b,ansible.builtin.apt,parameter,ansible.builtin.apt::param::dpkg_options,What is the default value of the dpkg_options parameter?,str,"force-confdef,force-confold","",,,2.21.3,2026-08-18T12:17:47Z
00b4d667-3456-4b63-9a74-6797cfbb7c0e,ansible.builtin.apt,parameter,ansible.builtin.apt::param::dpkg_options,What are the valid choices or formatting rules for providing multiple dpkg_options (how should options be supplied)?,str,"force-confdef,force-confold","",,,2.21.3,2026-08-18T12:17:47Z
4e3831e8-0a0f-458e-89f4-b26ce8cba187,ansible.builtin.apt,parameter,ansible.builtin.apt::param::lock_timeout,What type of value does the lock_timeout parameter accept in the ansible.builtin.apt module?,int,60,"",,,2.21.3,2026-08-18T12:17:47Z
5c26ee5f-cc23-4fc5-9d3e-0377ea635553,ansible.builtin.apt,parameter,ansible.builtin.apt::param::lock_timeout,What is the default value of lock_timeout for the ansible.builtin.apt module?,int,60,"",,,2.21.3,2026-08-18T12:17:47Z
f5af8740-b3d1-47ac-b93c-c7b47d5e71f8,ansible.builtin.apt,parameter,ansible.builtin.apt::param::lock_timeout,What are the valid choices or allowed values for the lock_timeout parameter in ansible.builtin.apt?,int,60,"",,,2.21.3,2026-08-18T12:17:47Z
71b98a8d-7670-4b83-9b50-4384577b6d8e,ansible.builtin.apt,parameter,ansible.builtin.apt::param::only_upgrade,What type of value does the only_upgrade parameter accept in the ansible.builtin.apt module?,bool,no,"",,,2.21.3,2026-08-18T12:17:47Z
1f086e65-6a91-4272-b769-ace7a47153d3,ansible.builtin.apt,parameter,ansible.builtin.apt::param::only_upgrade,What is the default value of the only_upgrade parameter?,bool,no,"",,,2.21.3,2026-08-18T12:17:47Z
361d4f5b-4869-401d-bb9b-902e499249a8,ansible.builtin.apt,parameter,ansible.builtin.apt::param::only_upgrade,What are the valid choices or allowed values for the only_upgrade parameter?,bool,no,"",,,2.21.3,2026-08-18T12:17:47Z
aed7c4da-b9be-4aab-b6d5-82eb15415bcc,ansible.builtin.apt,parameter,ansible.builtin.apt::param::update_cache,What data type does the update_cache parameter accept in the ansible.builtin.apt module?,bool,,"",,,2.21.3,2026-08-18T12:17:47Z
3cd9077d-2357-4bac-9c54-7adace10259e,ansible.builtin.apt,parameter,ansible.builtin.apt::param::update_cache,"If I omit update_cache when using ansible.builtin.apt, what is its default value?",bool,,"",,,2.21.3,2026-08-18T12:17:47Z
d82a2800-c38b-4dfa-ba47-07564b5967fe,ansible.builtin.apt,parameter,ansible.builtin.apt::param::update_cache,What are the valid/allowed choices or values for the update_cache parameter?,bool,,"",,,2.21.3,2026-08-18T12:17:47Z
24a50a1f-da53-4c6c-8204-9cddc3694d7d,ansible.builtin.apt,parameter,ansible.builtin.apt::param::force_apt_get,What type of value is the force_apt_get parameter expected to receive in the ansible.builtin.apt module?,bool,no,"",,,2.21.3,2026-08-18T12:17:47Z
87add6e8-6edb-4caf-9b38-31bb05d50447,ansible.builtin.apt,parameter,ansible.builtin.apt::param::force_apt_get,What is the default value of the force_apt_get parameter in this module?,bool,no,"",,,2.21.3,2026-08-18T12:17:47Z
